Gene$tnf-alpha	21926
SNP$rs662	tmVar:rs662;VariantGroup:0;CorrespondingGene:5444;RS#:662;CorrespondingSpecies:9606
Gene$adenosylhomocysteinase	191
Gene$ar	-
Gene$fibronectin	2335
Gene$cd8	925
Chemical$iron	MESH:D007501
Gene$l-specific intercellular adhesion molecule-3 grabbing non-integrin receptor	10332
Disease$dna	MESH:D004266
Disease$developmental delay	MESH:D002658
Gene$apoc1	341
Gene$ace	163
CellLine$scaber	CVCL:3599
Chemical$fluticasone propionate	MESH:D000068298
Gene$il-18	3606
Disease$gastrointestinal, or even multiple organ failure	MESH:D009102
Chemical$glabridin	MESH:C107601
Gene$acetylcholinesterase	43
Chemical$tg	MESH:D013866
Chemical$rhdl	-
Gene$orf3	136991
Chemical$zeaxanthin	MESH:D065146
Disease$smoking	MESH:D015208
Chemical$chinese herbs	-
Chemical$epicatechin	MESH:D002392
Gene$gli3	2737
Gene$erk1/2	5595;5594
Gene$glutamate-pyruvate transaminase	2875
Chemical$extra virgin olive oil	-
Chemical$chinese medicine	-
Gene$inos	18126
Disease$adverse drug reactions	MESH:D064420
Chemical$triglycerides	MESH:D014280
Chemical$paxlovid	MESH:C000719967
Disease$vitreoretinal interface impairment	MESH:D058499
Disease$skin melanoma	MESH:D008545
Chemical$glyphosate	MESH:C010974
Disease$sore throat	MESH:D010612
Chemical$blood glucose	MESH:D001786
Species$severe acute respiratory syndrome coronavirus virus respiratory type 2	-
ProteinMutation$q192r	tmVar:p|SUB|Q|192|R;HGVS:p.Q192R;VariantGroup:0;CorrespondingGene:5444;RS#:662;CorrespondingSpecies:9606;CA#:123411
Gene$nuclear factor erythroid 2-related factor 2	4780
Gene$spike	43740568
Gene$lcn2	3934
Chemical$rutin	MESH:D012431
Disease$metabolic disorders	MESH:D008659
Chemical$density lipoproteins	-
Gene$casp3	836
Gene$low-density lipoprotein receptor-related protein-1	4035
Chemical$creatinine	MESH:D003404
Gene$trkb	4915
Disease$apls	-
Disease$arrhythmia	MESH:D001145
Chemical$glycyrrhiza radix et rhizoma	-
Chemical$phospholipids	MESH:D010743
Chemical$fructose	MESH:D005632
Chemical$omega-3 fatty acids	MESH:D015525
Chemical$anthracycline drugs	-
Disease$thromboembolic	MESH:D013923
Species$rhizoma polygonati	-
Gene$prothrombin	2147
Gene$foxp3	50943
Disease$ectopic renal lipid accumulation	MESH:D011017
Gene$apoa-ii	11807
Disease$cirrhosis	MESH:D005355
Chemical$fd-4	-
Gene$advanced glycation end products	-
Disease$hyperinflammatory	-
Gene$apolipoprotein b	338
Disease$asthma	MESH:D001249
Chemical$saturated fat	-
Disease$plaque rupture	MESH:D012421
Gene$ifi47	15953
Gene$areg	11839
Chemical$photofrin	MESH:D017323
Gene$interleukin-6	3569
Chemical$thiol-disulphide	-
Gene$p53	7157
Species$hamster	10034
Disease$pancreatic cancer	MESH:D010190
Gene$cx3cr1	693926
Chemical$nitric oxide	MESH:D009569
Species$ljf	-
Gene$xrcc1	7515
Disease$fibromyalgia	MESH:D005356
Disease$angina	MESH:D000787
Disease$hdl deficit	MESH:D013631
Gene$banlangen	-
Gene$mir-486-	619554
Species$human influenza viruses	-
Disease$tubulo-interstitial injury	MESH:D017563
Species$common mugwort	-
Disease$cbt	OMIM:190900
Gene$chemokine (c-c motif) ligand 2	6347
Disease$septic	MESH:D001170
Disease$icu	-
Disease$uremic	MESH:D006463
Chemical$propolis	MESH:D011429
Disease$dermatomyositis	MESH:D003882
Disease$metabolic complication	MESH:D020739
Gene$zo-1	21872
Gene$cox-2	17709
Gene$il-17	3605
Gene$ifit3	15959
Gene$mt-nd1	4535
Disease$myalgic encephalomyelitis/chronic fatigue syndrome	MESH:D015673
Gene$angiotensin-converting enzyme	1636
Disease$polyarthritis	MESH:D001168
Species$bees	7460
Species$human	9606
Disease$rotavirus infections	MESH:D012400
Gene$e-cadherin	12550
Disease$adverse childhood experiences	MESH:D003643
Species$orange	-
Disease$affective disorders	MESH:D019964
Gene$smad2/3	4087;4088
Chemical$sterol	MESH:D013261
Chemical$phenolic phytochemicals	-
Chemical$prenylated isoflavan	-
Disease$amyloid plaques	MESH:D058225
Chemical$shufeng jiedu capsule	-
Chemical$fruit extract	-
